ID,ItemDisplayInfoID
153,5661
154,1542
155,472
156,5194
157,8483
158,5729
159,6050
160,6051
161,6060
162,1882
163,3265
164,9767
165,5341
166,9906
167,7081
168,5848
169,8370
170,6077
171,12647
172,12645
173,3261
174,15441
175,65304
176,73553
177,7180
178,10888
179,10006
180,10008
181,9031
182,5633
183,8003
184,11109
185,184381
186,5632
187,5447
188,8740
189,8738
190,5279
191,7777
192,9970
193,10052
194,2499
195,2308
196,10287
197,3218
198,7947
199,10872
200,10150
201,4265
202,14283
203,9785
204,6558
205,3409
206,4734
207,20190
208,8147
209,10890
210,12774
211,2951
212,66873
213,2368
214,26577
215,164727
216,20094
217,20218
218,1379
219,17007
220,19621
221,20443
222,1383
223,2743
224,1682
225,19644
226,4801
227,19699
228,19401
229,20334
230,10295
231,2186
232,2185
233,3900
234,2094
235,2359
236,2176
237,2106
238,20033
239,19726
240,19137
241,15990
242,2710
243,6470
244,17102
245,19271
246,2038
247,3394
248,5730
249,5731
250,14467
251,10908
252,3713
253,2101
254,5441
255,14271
256,1019
257,697
258,1020
259,510
260,2780
261,5208
262,22102
263,2943
264,9880
265,3443
266,19213
267,26579
268,5212
269,20357
270,3993
271,19713
272,5163
273,33458
274,19235
275,19242
276,20298
277,1680
278,20382
279,8494
280,20093
281,3524
282,20386
283,7816
284,6165
285,6456
286,1058
287,2953
288,1060
289,1068
290,28628
291,20170
292,1727
293,19703
294,22097
295,20110
296,22131
297,2861
298,22108
299,22151
300,19405
301,8272
302,5215
303,20329
304,16676
305,20256
306,20253
307,859
308,66341
309,1550
310,8583
311,18630
312,68756
313,1121
314,7453
315,703
316,7469
317,20327
318,19643
319,1716
320,679
321,1166
322,1170
323,30993
324,2456
325,67341
326,6520
327,67048
328,68840
329,66890
330,15120
331,22093
332,7495
333,184629
334,5226
335,20112
336,18663
337,1705
338,2329
339,2594
340,1644
341,5199
342,9536
343,1028
344,19625
345,10988
346,6193
347,5527
348,20122
349,3367
350,30392
351,22215
352,5530
353,20156
354,27752
355,12723
356,2210
357,178254
358,178262
359,6447
360,2767
361,4770
362,19035
363,15767
364,20391
365,1796
366,5444
367,11387
368,15673
369,17057
370,20377
371,19290
372,12741
373,28613
374,4583
375,68843
376,4589
377,8409
378,4463
379,9374
380,5728
381,5578
382,12850
383,23101
384,11051
385,9187
386,12426
387,5197
388,453
389,1546
390,19247
391,20087
392,18437
393,1595
394,5542
395,5203
396,2201
397,5540
398,5638
399,20442
400,20074
401,1547
402,19525
403,19613
404,8501
405,4473
406,4472
407,4471
408,4470
409,4469
410,5558
411,6019
412,23109
413,9791
414,8265
415,5861
416,16733
417,25943
418,8570
419,8019
420,6841
421,6842
422,8457
423,22214
424,19683
425,3272
426,19136
427,20109
428,19375
429,6475
430,20154
431,20402
432,16710
433,9381
434,25595
435,20089
436,9117
437,9122
438,7464
439,8267
440,3082
441,4597
442,5165
443,16553
444,30832
445,2193
446,14309
447,14013
448,16947
449,14846
450,17024
451,27673
452,17077
453,16658
454,14978
455,19775
456,20173
457,19226
458,20092
459,19533
460,20421
461,8486
462,19306
463,22239
464,5534
465,20395
466,21551
467,18456
468,16856
469,12671
470,20078
471,2807
472,63370
473,20272
474,19743
475,28470
476,15508
477,26586
478,3889
479,3797
480,1795
481,18289
482,8678
483,11269
484,2382
485,19304
486,16667
487,3826
488,21460
489,8581
490,15467
491,5289
492,5166
493,19997
494,3254
495,233
496,2219
497,70705
498,976
499,687
500,977
501,15121
502,6914
503,15074
504,15181
505,7578
506,2213
507,1818
508,16786
509,1817
510,3757
511,23138
512,2300
513,2299
514,9999
515,5783
516,15450
517,27549
518,3052
519,2629
520,5094
521,2849
522,16990
523,2561
524,972
525,704
526,14197
527,4859
528,3715
529,17015
530,17066
531,5605
532,12916
533,16895
534,4590
535,945
536,2118
537,23040
538,3992
539,683
540,14205
541,13181
542,20037
543,19245
544,20413
545,19534
546,1556
547,20183
548,19535
549,1766
550,20385
551,6794
552,19292
553,19784
554,8587
555,19369
556,15591
557,4129
558,20361
559,16844
560,7746
561,10016
562,3247
563,2178
564,3253
565,3704
566,13617
567,14853
568,11582
569,2980
570,1593
571,7485
572,1596
573,1597
574,2701
575,1201
576,3297
577,7494
578,1839
579,2698
580,2781
581,5218
582,19276
583,20415
584,8420
585,23067
586,20418
587,4312
588,20471
589,20399
590,5040
591,8565
592,14843
593,4255
594,8279
595,3334
596,1684
597,1515
598,1685
599,3846
600,16901
601,20179
602,8590
603,12813
604,3127
605,2982
606,20191
607,1627
608,1706
609,20638
610,15497
611,5533
612,179725
613,19127
614,16670
615,20356
616,20251
617,20120
618,20373
619,5176
620,19255
621,1965
622,20088
623,18650
624,105589
625,22096
626,22115
627,8593
628,22119
629,19281
630,22145
631,11905
632,8354
633,12699
634,5161
635,17054
636,11447
637,18399
638,1330
639,20379
640,19220
641,8474
642,1758
643,1755
644,1757
645,8478
646,20175
647,19532
648,22991
649,19650
650,20212
651,19203
652,20431
653,16868
654,20363
655,19134
656,20168
657,28578
658,20157
659,19637
660,19400
661,20152
662,2250
663,6455
664,184630
665,2704
666,168951
667,168953
668,168952
669,10005
670,1967
671,12674
672,13929
673,16654
674,16045
675,11981
676,8969
677,16575
678,4102
679,5598
680,11414
681,8449
682,7834
683,8417
684,18662
685,22075
686,20438
687,19204
688,2705
689,2717
690,22135
691,2706
692,989
693,4592
694,2355
695,3602
696,2358
697,691
698,4788
699,2985
700,2986
701,2987
702,2988
703,2989
704,5459
705,2609
706,2610
707,2645
708,20291
709,20312
710,685
711,17178
712,11470
713,2707
714,68842
715,66330
716,8534
717,1926
718,1927
719,1928
720,184632
721,1930
722,3092
723,1022
724,7427
725,1938
726,3940
727,184633
728,7443
729,6531
730,6535
731,6532
732,6534
733,7463
734,3375
735,20038
736,20153
737,22137
738,22142
739,22139
740,2552
741,18656
742,2553
743,17884
744,18670
745,18486
746,18665
747,20451
748,18485
749,18729
750,18484
751,2738
752,20470
753,20372
754,22219
755,6901
756,16671
757,4272
758,8152
759,4270
760,20598
761,20345
762,65301
763,66888
764,70704
765,15042
766,19729
767,3447
768,15506
769,8687
770,5221
771,4995
772,19623
773,8470
774,5170
775,8807
776,8472
777,20341
778,20213
779,20346
780,16114
781,13318
782,3173
783,3169
784,20370
785,20211
786,10616
787,70662
788,19305
789,19037
790,19389
791,9502
792,17163
793,5853
794,22998
795,6026
796,5406
797,5655
798,4956
799,9521
800,17172
801,2776
802,18730
803,9171
804,14159
805,7949
806,13503
807,16871
808,16187
809,18478
810,16387
811,16371
812,16388
813,18672
814,954
815,3533
816,2230
817,1511
818,6955
819,2968
820,2969
821,2970
822,4028
823,6821
824,3979
825,8642
826,6853
827,2976
828,18692
829,6855
830,6856
831,2663
832,1863
833,1861
834,3212
835,16769
836,7592
837,8418
838,10376
839,18749
840,18733
841,18732
842,18772
843,8367
844,8396
845,8416
846,8369
847,10464
848,11554
849,8331
850,7748
851,5680
852,14295
853,13015
854,1657
855,8512
856,19601
857,22112
858,12992
859,22121
860,22136
861,1768
862,8104
863,20723
864,20722
865,20714
866,168954
867,168955
868,168956
869,184634
870,184635
871,12284
872,22084
873,7590
874,22216
875,6795
876,22133
877,22141
878,22150
879,22098
880,22105
881,22111
882,22120
883,22134
884,22140
885,20389
886,2922
887,3121
888,15430
889,10671
890,2466
891,7442
892,2469
893,6488
894,4485
895,6555
896,16666
897,20590
898,10708
899,15682
900,66337
901,12687
902,10840
903,10705
904,10667
905,7811
906,10861
907,10849
908,5380
909,39075
910,12669
911,22033
912,10798
913,12704
914,12661
915,16614
916,12655
917,12701
918,12654
919,12702
920,178253
921,178252
922,11275
923,188833
925,20473
926,15066
927,15046
928,20441
929,13165
930,24717
931,18494
932,24594
933,24595
934,7454
935,7456
936,6560
937,6549
938,184636
939,6581
940,6530
941,6529
942,7457
943,178251
944,20117
945,20383
946,2708
947,2786
948,168957
949,2787
950,20712
951,168958
952,20671
953,168959
954,20668
955,168960
956,20534
957,21114
958,5188
959,23084
960,5122
961,7479
962,1160
963,8465
964,19669
965,65092
966,1963
967,6443
968,19633
969,20091
970,19236
971,6235
972,20552
973,8463
974,4805
975,5198
976,19929
977,23529
978,13095
979,4331
980,17518
981,19499
982,22458
983,4333
984,4407
985,19677
986,4412
987,9695
988,20151
989,2428
990,179726
991,18575
992,2967
993,15837
994,2916
995,23099
996,8107
997,184631
998,46483
999,8513
1000,20605
1001,2928
1002,4297
1003,20320
1004,16828
1005,19664
1006,2934
1007,20359
1008,3007
1009,179727
1010,179728
1011,4314
1012,20378
1013,23077
1014,14615
1015,16545
1016,14499
1017,8263
1018,14525
1019,14497
1020,17093
1021,17160
1022,16980
1023,17053
1024,22677
1025,7193
1026,10559
1027,10790
1028,5866
1029,7950
1030,5868
1031,14528
1032,13702
1033,10450
1034,8086
1035,8087
1036,1407
1037,14549
1038,4765
1039,4614
1040,16789
1041,9739
1042,10220
1043,8443
1044,9587
1045,12295
1046,25768
1047,12087
1048,12296
1049,1995
1050,10998
1051,23027
1052,12682
1053,178151
1054,3187
1055,16534
1056,168962
1057,168963
1058,168964
1059,20675
1060,20670
1061,5392
1062,20653
1063,20672
1064,168965
1065,168966
1066,168967
1067,25778
1068,11522
1069,11525
1070,25780
1071,3293
1072,4596
1073,7647
1074,9081
1075,10303
1076,8268
1077,27554
1078,15068
1079,19209
1080,16694
1081,8079
1082,9170
1083,2204
1084,20669
1085,8588
1086,2699
1087,66887
1088,23098
1089,18340
1090,2324
1091,16696
1092,12965
1093,20396
1094,20362
1095,26576
1096,19557
1097,20072
1098,8525
1099,3243
1100,26590
1101,19545
1102,19622
1103,5509
1104,26585
1105,20184
1106,8585
1107,19372
1108,14867
1109,19283
1110,4275
1111,5228
1112,3379
1113,11371
1114,20186
1115,14535
1116,5232
1117,20250
1118,19275
1119,25766
1120,11527
1121,6057
1122,18121
1123,5372
1124,20607
1125,19624
1126,8186
1127,20381
1128,3406
1129,9917
1130,8210
1131,10166
1132,16612
1133,50194
1134,21052
1135,3432
1136,19782
1137,68837
1138,66346
1139,68845
1140,66333
1141,66868
1142,1673
1143,2397
1144,26927
1145,26928
1146,27175
1147,25273
1148,25272
1149,27993
1150,16067
1151,28591
1152,27996
1153,134598
1154,14509
1155,11008
1156,8182
1157,26944
1158,26945
1159,28997
1160,25239
1161,25238
1162,134231
1163,11061
1164,11059
1165,11021
1166,10089
1167,10090
1168,10018
1169,10598
1170,11014
1171,4506
1172,10940
1173,21457
1174,19252
1175,3502
1176,20434
1177,16655
1178,12971
1179,1661
1180,3552
1181,3553
1182,15912
1183,6584
1184,3573
1185,10061
1186,3213
1187,10939
1188,5949
1189,5838
1190,14086
1191,14963
1192,16555
1193,5859
1194,7082
1195,5858
1196,9647
1197,9094
1198,7758
1199,178149
1200,2809
1201,20339
1202,20174
1203,6483
1204,6479
1205,179729
1206,6487
1207,16610
1208,3686
1209,3696
1210,168968
1211,10123
1212,7437
1213,7480
1214,3302
1215,3709
1216,6806
1217,3576
1218,3719
1219,6441
1220,11919
1221,4030
1222,28065
1223,18659
1224,179730
1225,5120
1226,11145
1227,3755
1228,20015
1229,8956
1230,6982
1231,12672
1232,28607
1233,23528
1234,13090
1235,25850
1236,22459
1237,3518
1238,23421
1239,23531
1240,9038
1241,4343
1242,4413
1243,9412
1244,9414
1245,20196
1246,8516
1247,5205
1248,3780
1249,20664
1250,7430
1251,3816
1252,3827
1253,3828
1254,3829
1255,3831
1256,3833
1257,3835
1258,3839
1259,3841
1260,3843
1261,3844
1262,3845
1263,16615
1264,15924
1265,3269
1266,16528
1267,8614
1268,20715
1269,6162
1270,3179
1271,14127
1272,1797
1273,168969
1274,18122
1275,19546
1276,9049
1277,20414
1278,70719
1279,3335
1280,3064
1281,19231
1282,8958
1283,6610
1284,3392
1285,10901
1286,9464
1287,3643
1288,4444
1289,3740
1290,6978
1291,10053
1292,8173
1293,3895
1294,7619
1295,7747
1296,6103
1297,14081
1298,10875
1299,14161
1300,10344
1301,8183
1302,12342
1303,16595
1304,9206
1305,12126
1306,18512
1307,18655
1308,2052
1309,18488
1310,18696
1311,18702
1312,5010
1313,6536
1314,6533
1315,178250
1316,4085
1317,20374
1318,17164
1319,20667
1320,9024
1321,10169
1322,23100
1323,8732
1324,3083
1325,8189
1326,7858
1327,3875
1328,19228
1329,12468
1330,18769
1331,4108
1332,3750
1333,4109
1334,26366
1335,20660
1336,19287
1337,20150
1338,20216
1339,3727
1340,3550
1341,19694
1342,8739
1343,6190
1344,6173
1345,11298
1346,6189
1347,8374
1348,6102
1349,4599
1350,5522
1351,14802
1352,23029
1353,17631
1354,5521
1355,11270
1356,3278
1357,4130
1358,18481
1359,20180
1360,22994
1361,6957
1362,9417
1363,25658
1364,178260
1365,9422
1366,9424
1367,9415
1368,4744
1369,9416
1370,9425
1371,16640
1372,4153
1373,4154
1374,5129
1375,20215
1376,2775
1377,15468
1378,5105
1379,20252
1380,782
1381,8502
1382,6474
1383,15908
1384,15907
1385,15318
1386,15914
1387,182736
1388,15299
1389,6262
1390,20412
1391,8943
1392,132849
1393,11204
1394,11405
1395,7710
1396,14095
1397,10113
1398,5865
1399,9894
1400,15106
1401,10357
1402,16701
1403,8554
1404,16699
1405,6121
1406,5451
1407,14319
1408,10508
1409,5297
1410,12962
1411,5295
1412,8133
1413,12541
1414,10075
1415,12572
1416,7011
1417,4968
1418,12755
1419,5827
1420,16994
1421,17171
1422,23065
1423,17069
1424,3078
1425,4486
1426,11138
1427,8137
1428,136297
1429,10976
1430,23068
1431,9366
1432,5947
1433,8198
1434,8136
1435,5725
1436,18814
1437,18774
1438,18813
1439,18469
1440,17885
1441,18474
1442,4335
1443,4336
1444,4337
1445,4338
1446,4339
1447,8035
1448,4340
1449,4329
1450,4330
1451,4332
1452,4334
1453,4342
1454,4344
